,职位,公司,工作地点,薪资,发布时间,工作经验,学历,职位详细要求
38,Java开发工程师,黑龙江苗方清颜科技有限公司,哈尔滨-道里区,6-8千/月,04-18,  2年经验  ,  招1人  ,"职位信息


						岗位职责：负责业务系统与网站开发独立完成开发任务验证和修正测试中发现的问题有团队精神，良好的抗压能力，心态积极，能主动融入团队任职要求：具有两年以上web开发工作经验良好的java基础，对j2ee开发有一定经验，要对servlet、jsp、jdbc等有一定经验，使用过tomcat、jetty等web容器熟悉模板工具，freemarker熟悉使用spring  mvc+spring+spring+hibernate.熟悉使用mysql数据库熟悉使用js框架，如jquery，对js有一定了解薪资：面议						
												

职能类别：

										其他									



微信分享







联系方式



上班地址：黑龙江省哈尔滨市丽江路和群力第五大道交口华夏银行a座17层							
地图





公司信息


						 黑龙江苗方清颜科技有限公司（中文简称：苗方清颜，英文简称：miao fang qing yan）创建于21世纪的2003年，登记注册在中国美丽的城市哈尔滨。公司是一家集研发、生产、销售于一体的品牌输出型企业，通过借鉴苗族传统配方，利用抗菌肽和细胞生长因子的纳米技术、具有吸附重金属离子功能的融合蛋白，结合先进仪器，精心研发了几大系列、百余款产品，针对痤疮、粉刺顾客开创了国内签约服务先河，十多年受益了数百万顾客。产品现已覆盖全国33个省区，发展了近三千家加盟连锁店，培养了三万多名优秀的专业服务人员，是目前国内实力雄厚的专业祛痘美肤品牌。     公司产品拥有两项独家专利，设有针对亚洲人痤疮皮肤专门的acne实验研究室，拥有一支在肌肤护理方面技术过硬的研发团队。在致力于美容技术和产品研发的同时，苗方清颜一直全心全意为顾客提供专业化服务，因人而异制定护理方案。苗方清颜以“创造无痘美丽世界”为企业愿景，以匠人精神为顾客提供价值，凭借先进的质量、管理、培训和服务体系，吸纳了众多具有社会责任感的加盟商，为品牌地位奠定了坚实的基础。     苗方清颜率先开启了“oao”店网一体化的经营模式，并自主研发了互联网app运营平台，增强了终端店面与消费者的沟通效率，全面提升用户体验，提高加盟店的关注度和管理水平；同时，苗方清颜还开启了“会员制”管理制度，会员可在全国范围内享受会员联保服务。    苗方清颜，一直将“顾客的自信与美丽”作为苗方人的神圣使命！苗方清颜，一个行业代表性的美肤品牌，正在神州大地毅然崛起！公司发展历程：？    2003年，哈尔滨苗方清颜商贸有限公司创立，“苗方清颜”品牌正式推出；？    2007年，哈尔滨苗方清颜商贸有限公司首家自营店在哈尔滨市隆重开业；？    2013年，哈尔滨苗方清颜商贸有限公司被评为“3.15消费者口碑信誉单位”；？    2015年，黑龙江苗方清颜科技有限公司“百强峰会”在冰城哈尔滨隆重召开；？    2016年，黑龙江苗方清颜科技有限公司成立，“苗方清颜”品牌趋于成熟；？    2016年，黑龙江苗方清颜科技有限公司生产基地正式竣工并投入生产；？    2016年，黑龙江苗方清颜科技有限公司进入“央视网招商”品牌推广合作企业；？    2017年，自主开发app平台正式上线，开启oao店网一体化运营。"
39,中级JAVA工程师,上海智隆信息技术股份有限公司,哈尔滨-香坊区,6-8千/月,04-18,  3-4年经验  ,  本科  ,"职位信息


岗位职责：1、负责公司java开发平台下项目的研发和维护工作；2、根据项目具体要求，承担开发任务，按计划完成任务目标；3、能独立完成软件系统及模块的需求分析与设计；4、独立完成软件系统中部分模块的编码工作；5、协助测试人员完成软件系统及模块的测试；6、负责编制与项目相关的技术文档。任职要求：1、计算机相关专业本科及以上学历，3年以上java方面的开发工作经验；2、熟练struts2 + spring + hibernate框架，熟练jsp、servlet、ajax、xml、html、javascript、css、exts等技术，有以上技术开发的项目经验；3、熟悉tomacat应用；4、熟悉使用oracle等数据库；5、熟悉linux/unix等操作系统，了解shell；6、高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业；7、待遇可根据实际情况协商。


职能类别：

										软件工程师									


关键字：
java
jsp
servlet
ajax
数据库



微信分享







联系方式



上班地址：哈尔滨市香坊区木材街59号东北农业大学							
地图





公司信息


						上海智隆信息技术股份有限公司（简称智隆信息）：    简而精，三个词告诉你，我们在做什么？智慧校园&智慧教育&互联网+教育。在教育行业趋向信息化、智能化的背景下，2012年，智隆信息在上海浦东张江高科技园区应运而生，六年时间，迅速发展壮大，成为智慧教育行业标杆性示范企业。公司成立到现在，一路上满是智隆人傲娇的闪光点：    一、我们具备软件企业、高新企业、cmm3认证、is09001认证证书；    二、40多个教育行业产品软件著作权，每年还在持续增加中….    三、国家高等教育信息委员会（简称“高信会”）资深会员，参与协会建设，为高信会提供了智慧校园工作标准化提供案例标准，和以智隆信息实际服务项目案例作为行业的示范书，并协助高信会成功举办2、3、4、5、6届智慧校园研讨会；    四、产品方面我们打造了国内第一套智慧校园基础平台暨wip平台，属国内第一例通过教育部信息管理中心安全测评的平台。    智隆信息目前在多个城市设有子公司、分公司、办事处，我们的产品与服务将突破传统的教育信息化趋势，面向教育大数据、教育智能化、互联网教育服务等多方面，可为员工提供广阔的职业发展和技术平台。    中国那么大，若你想择一城而居，择一城而立，上海、合肥、武汉、昆明、重庆、内蒙、太原、西安、长春、哈尔滨、北京、郑州、广州扫榻相迎，待你看雪赏花骑马喝茶闲聊撸串，工作之余，尽享生活。    我们的同事，来自五湖四海，相互取长补短；    我们的项目，落地全国高校，汲取青春美好；    我们的管理，讲求灵活人性，予你的潜力无限空间。    智，始于行；隆，源于精。不忘初心，创变前行。智隆信息，已经打开一个大大的舞台，等你带着才华与梦想，成为智隆人，一起去推动“智慧教育、智慧校园”行业的发展，成就智慧校园的领军者，众智赢未来。"
40,Java开发工程师,哈尔滨华泽数码科技有限公司,哈尔滨,4-8千/月,04-18,  1年经验  ,  大专  ,"职位信息


岗位职责：1遵守单位各项规章制度，服从工作安排，按时完成上级交办的工作；2负责分析项目需求，并实现项目主业务的代码；3负责部分系统的功能设计，编写设计说明书；4负责项目疑难技术问题的解决；5负责完善公司的开发框架；6根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；7.责任心强，品德优良，善于沟通交流，具有团队合作精神；任职要求：1遵守单位各项规章制度，服从工作安排，按时完成上级交办的工作；2负责分析项目需求，并实现项目主业务的代码；3负责部分系统的功能设计，编写设计说明书；4负责项目疑难技术问题的解决；5负责完善公司的开发框架；6根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；7.责任心强，品德优良，善于沟通交流，具有团队合作精神；任职要求：1、计算机相关专业，具有一定的软件开发及文档编写能力；2、熟悉 spring、mybatis、jbpm、freemarker等技术，熟练使用 ssh/ssi 框架；3、熟悉b/s多层架构，精通基于json、jquery、html、css，ajax等的web前端编程；4、熟练掌握数据库oracle、mysql、sqlserver中至少一种,能够熟练的使用存储过程、事务、索引、全文检索、视图、查询优化等技术，具有良好的数据库规划设计能力；有redis、memcached使用经验优先；5、良好的代码习惯及较强的文档编写能力，要求结构清晰，逻辑性强，代码冗余率低；6、具有稳定工作经验者优先；7、具有分布式，电子政务，大数据者优先8、能力突出者薪资可谈企业福利：带薪休假，五险一金，节日福利，生日礼物，周末双休，节假日提前放假


职能类别：

										软件工程师									

										软件测试									


关键字：
java
开发
软件
互联网
工程师
程序



微信分享







联系方式



上班地址：群力第五大道与融江路交叉口汇智金融企业总部c座11层							
地图





公司信息


						哈尔滨华泽数码科技有限公司，成立于2003年7月，是按股份制模式建立起来的现代化高新技术企业。主要致力于计算机网络互联技术、网络软件技术、网络安全技术、智能建筑等领域的硬件产品与软件的开发、研制、销售工作。员工65人，科技人员61人。公司成立至今，出色的完成了多项政府机构、企事业单位系统集成类、网络安全类、网站建设类的项目，取得了可喜的成果，积累了丰富的经验,经过多年的努力，公司在内务建设上成绩显著。获得了黑龙江省科委、财政厅、国家税务局联合颁发的***《高新技术企业证书》、黑龙江省工业和信息化委员会颁发的《软件企业认定证书》、黑龙江省政府采购中心颁发的《政府采购准入许可证》、哈尔滨市政府颁发的《政府采购准入许可证》。黑龙江省建设厅颁发的《建筑智能化专业承包三级资质》。承建的哈尔滨城乡规划局电子政务网站《规划公园》在2003年度黑龙江省政务系统电子政务应用软件评比中获得了二等奖,2003年到2008年连续六年在哈尔滨市政府网站评比中获第一名。开发的软件产品《华泽数据通》及《iptv数据统计分析系统》《华泽政务公开系统v1.0》、《动态图文证据保全系统1.0》、《华泽通用行政审批系统软件》、《工作流系统软件v1.0》、《华泽网站通网站后台管理系统软件v1.0》、《智能电子监察平台软件v1.0》、《华泽法制监督系统v1.0》、《华泽行政审批信息共享系统v1.0》等软件产品均已获得国家版权局颁发的版权证书。公司本着服务社会的目的，秉承“诚信、责任、创新、服务”的理念，竭诚为政府部门、企事业单位提供热情、周到、专业的服务公司宗旨、经营理念、价值观及文化1、我们的宗旨创新开拓最优性价比的产品，诚挚服务于用户，矢志成为世界一流的软件产品开发与系统集成公司。2、我们的经营理念诚信、责任、创新、服务诚信：经营中诚实守信、赚取合理利润责任：为用户负责，同时勇于承担社会责任创新：开拓创新，研发新的软、硬件产品服务：为用户提供优质服务3、我们的核心价值观以人为本、共同成长和谐合作、服务社会高效运作、注重结果4、我们的文化公平开放、尊重平等团队合作、沟通互助努力工作、开心快乐信守承诺鼓励个人能动性和创造力向用户负责，向员工负责，向股东负责，向社会负责"
41,Java开发实习生,中通服软件科技有限公司,哈尔滨-南岗区,3-4.5千/月,04-18,  无工作经验  ,  招1人  ,"职位信息


1、负责软件程序的设计和代码编写；2、负责单元测试工作；职位要求：1、熟悉java，jsp/javascript，了解mvc开发模式，有java应用的开发经验；2、了解sql、pl/sql，使用过关系型数据库（如oracle、mysql、ms sqlserver等）；3、了解eclipse等开发工具、svn等版本控制工具；4、工作积极主动，具备较强的分析能力和解决问题的能力，具有良好的沟通和团队协作性；5、19届本科软件专业，有项目开发经验的优先考虑。


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：林兴街1号电信大楼							
地图





公司信息


						中通服软件科技有限公司是业界领先的电信运营商oss系统供应商，致力于为电信运营商提供oss领域的整体解决方案以及相关软件及系统的设计、开发、生产安装与服务。公司的产品和服务覆盖全国，拥有全国性的营销渠道和服务体系，主要用户遍及中国电信、中国移动、中国联通等三大运营商集团公司以及各省级公司，并且在电力、广电、公安以及海外电信、电力市场有所拓展。中通服软件科技有限公司由中国通信服务股份有限公司（hk.0552，以下简称中通服）和埃森哲国际有限公司合资组建，公司总投资额4500万美元，注册资本2500万美元。公司员工规模达到1000余人，其中80%均为研发人员，专业从事电信oss领域的软件开发和技术服务。公司在北京、上海、广州等地拥有技术人才基地，在全国众多省会城市设立了分支机构，提供区域化的本地支撑服务。中通服软件科技有限公司是以中通服旗下的国信朗讯科技网络技术有限公司和天讯瑞达通信技术有限公司的oss业务团队为核心组建的，两家公司都在该领域内有了十几年的技术、市场及人才的积累。成立后的中通服软件科技有限公司将秉承“满足客户需求，提升客户价值”的服务理念，为支持客户运营支撑系统能力的持续提升而努力不懈，为成为oss领域最值得信赖的战略伙伴而矢志不渝。中通服软件是电信oss领域具有深厚积累广泛市场并且保持着良好发展势头的高科技企业。在此，热忱欢迎立志于此行业的优秀人才加盟公司共图发展。本着“以人为本”的理念，我们将提供舒适的工作环境、具备竞争力的薪酬待遇、具有完备保障的福利政策以及各项适用于您职业发展的培养计划。（一）科学的培训计划公司不定期开展电信业务、技术以及相关软件技术的培训，旨在提高员工的各项技能。同时，为保持技术的先进性，公司积极引进最前沿的开发技术培训，使公司的开发队伍始终拥有业界领先开发实力。我们崇尚知识共享，不定期举办各种内训，包括实战经验分享式的内部专业化培训，每个人都可以成为培训讲师，分享自己的知识，大家互相学习，共同成长。（二）积极的学习氛围技术是不断更新的，公司为您提供主动积极的学习环境，我们的图书馆为您准备了专业领域里各式各样的资料以备参考；另外更有定期的电信技术类杂志上架，欢迎您借阅。公司的知识库平台让您能够快速自主学习掌握各类系统的开发应用模式。我们在业界已经有十多年的积累，各个团队都有着大批的资深技术专家和高手，新员工可以与他们共事、交流、切磋技艺，讨论最前沿的技术和产品。（三）灵活的晋升制度公司为员工提供多种晋升和发展渠道，如果您是技术人员，您可以选择从初级、中级软件工程师向高级、资深工程师方向发展；也可以选择从工程师向项目经理方向发展；如果您是非技术类人员，您可以选择从普通职员向分公司业务骨干方向发展；如果您显示出超群的领导、管理能力，还将有机会通过竞选成为公司管理团队的一员，总之，我们给您足够的成长空间！（四）完善的薪酬体系为吸引、激励社会优秀人才，公司为员工提供富有竞争力的薪酬体系和制度。我们不讲论资排辈，个人专业能力及对公司的价值贡献是决定员工收入的唯一标准。我们的目标是：当公司走向成功的时候，我们的员工也能在个人经济收入、专业技术能力、职业化程度、社会地位等方面获得丰厚的回报，共同分享公司的辉煌。（五）健全的福利政策5天/周工作制，每天7.5小时每月通讯、交通、午餐补贴、电脑补贴完善的社会保险，包括养老、医疗、工伤、失业、生育险，并为在外地工作的人员在当地依法缴纳社保并购买公积金住房公积金（以实际工资为基数，公司缴纳10%，个人缴纳比例可自选）按照国家规定享有带薪年假法定公众假期、婚假、丧假、产假、陪产假、哺乳假等相关假期结婚贺金、生育贺金、生日礼金及传统节日过节费按照国家政策规定的夏季高温补贴、少数民族补贴、独生子女补贴等公司将为符合条件的应届毕业生解决户口及档案接收年度健康体检（六）丰富的员工活动为丰富员工的精神生活，公司为员工提供丰富多彩的文化和体育活动，包括旅游、年会、摄影展、书画展等，每周开展羽毛球、乒乓球活动，定期开展足球、篮球活动，一年一度公司全员运动会，并设置丰厚的奖项。在每年六一节，公司还为有子女的家庭组织亲子活动，让员工能尽情感受到公司这个大家庭的温暖！（七）温馨的员工关怀公司工会每年对家庭经济困难的员工开展帮扶工作，并对家庭成员突患重大疾病的员工组织开展员工捐款活动，让员工感受来自集体的关怀。公司网址：http://www.ccssoft.com.cn/广州地址：广州市天河区黄埔大道平云路163号广电平云广场a塔6楼北京地址：北京市东城区朝阳门内大街2号朝阳门soho写字楼801室上海地址：上海市浦东新区东方路1215号陆家嘴软件园4号楼5楼"
42,初级Java软件工程师,黑龙江太平洋科技有限公司,哈尔滨-南岗区,3.5-5千/月,04-17,  无工作经验  ,  本科  ,"职位信息


招聘条件：计算机相关专业大学本科以上学历，1年以上工作经验； 能够熟悉并使用jquery等前端框架开发前端页面程序；能够熟练使用oracle数据库进行基于jdbc的编程；熟悉java编程语言及主流的mvc框架，掌握spring、spring mvc的基本使用；熟悉spring-test、junit的单元测试用例的编写；有一定的html、xml、css、javascript基础；掌握java基本编程，掌握jdbc、jsp/servlet编程；有责任心，勤奋认真，踏实肯干，能承受较大的工作压力；具备良好的沟通能力和良好的团队合作精神；具备电力行业知识或实践经验，有营销系统或采集系统开发经验者优先。岗位职责：  有效承接项目经理分派的开发任务，保质保量完成任务；  遵守项目、部门、小组制定的各种开发规范，持续优化改进自己的程序；  能够准确理解相关技术、设计文档，自觉学习工作相关的业务知识； 能够及时进行工作总结，主动向项目经理汇报工作进展情况。


职能类别：

										软件工程师									



微信分享







联系方式



上班地址：开发区							
地图





公司信息


						黑龙江太平洋科技有限公司始建于 2007年5月，注册资本2000万元，是专门提供电力企业应用系统的开发与集成、网络基础设施建设的高新技术企业。公司通过了iso9001：2008质量管理体系认证、软件企业、高新技术企业、系统集成资质认证。公司始终坚持“信誉第一”、“质量第一”、“服务第一”的原则，自公司成立至今，始终依托自身专业人才优势，立足电力系统，先后开发了多项符合电力系统需求、技术领先的高科技产品。公司产品涵盖用电信息采集、电能计量、网损管理、电子商务、电力营销信息化管理、信息化应用系统、运行维护、硬件产品等领域，相关软硬件产品拥有著作权及专利权。多年来公司产品不仅在黑龙江省国网系统、农网系统得到了广泛的应用，同时在青海省电力公司、云南省电力科学研究院也得到了广泛的应用，深得用户一致好评。良好的信誉和一流的服务也使公司走上了发展的快车道。公司承建的国网黑龙江省电力有限公司电力用户用电信息采集系统获得了黑龙江省科技进步一等奖和国家电网公司科技进步二等奖，并于2011年3月3日成为国内首家通过了国家电网公司整体验收的系统。以人为本，追求卓越，以专注的精神开发专业产品。 黑龙江太平洋科技有限公司将秉承责任与持续创新精神，掌握行业需求，以先进的产品、优质的服务不断为客户创造价值，推进电力系统管理和技术的进步，支持各行业的技术应用，为满足客户需求作出我们应有的贡献。"
43,Java开发工程师,哈尔滨飞扬软件技术有限公司,哈尔滨-松北区,4.5-6千/月,04-17,  3-4年经验  ,  大专  ,"职位信息


						岗位职责：设计项目架构，编写架构设计文档负责向项目经理及时反馈软件开发中的情况，并根据实际情况提出改进建议内部测试的组织实施参与软件开发和维护过程中重大技术问题的解决承担相应的保密职责岗位要求：熟悉并熟练掌握交付软件部开发的软件项目的相关软件技术；具有oracle、mssql数据库的开发经验，熟练掌握sql、pl/sql者优先；丰富的java、jsp、servlet、javascript、xml等实际项目开发经验；具备软件架构设计能力，熟练使用oo分析设计方法和j2ee设计模式，能够熟练运用uml进行分析设计工作；掌握基于j2ee的web架构设计，有丰富的web mvc（struts、webwork、jsf等一种或多种）开发经验；熟练使用hibernate、spring、struts等开源框架；熟练使用tomcat、jboss、weblogic、websphere等一种或多种web/application server；责任感强，具有很好的团队合作精神，能够按时完成分配的任务；有较强的学习能力、分析能力、创新意识，以及良好的沟通能力，工作认真负责，踏实、勤奋、敬业。						
												

职能类别：

										软件工程师									



微信分享







联系方式



上班地址：科技一街449号科技创新城三号楼a区六层							
地图





公司信息


						哈尔滨飞扬软件技术有限公司是双软认证企业，国家高新技术企业。     公司从2002年开始从事物流管理软件的开发和销售，致力于解决我国广大的中小型第三方物流企业管理难题。公司开发的《飞扬第三方 物流管理系统软件》已经通过软件产品认证及软件著作权认证，经过几年的持续发展，该产品成为全国同类软件里客户数量和应用范围最广的物流软件之一。经过多年的市场推广和上百家客户应用，我们将第三方物流管理软件与高校物流教学有机结合，让教学软件更贴近实际工作和应用。公司于2010年7月中标杭州市道路运输管理局普通运输类物流企业推荐软件，成为国家交通部“交通运输物流公共信息共享平台”试点物流电子枢纽的推荐软件。     公司已经在辽宁、吉林、河南、河北、山东、山西、浙江、四川、陕西、甘肃、安徽、湖北、广州、新疆等全国各地设有办事处和代理商，员工由最初的15人发展到现在的百人以上，拥有像黑龙江大庆北方物流公司、黑龙江华大物流公司、哈尔滨北大物流公司、沈阳东方德利物流公司、沈阳彦成物流公司、长春金正物流公司、山东临沂鲁疆物流公司、济南永辉物流公司、太原老鸿运物流公司、郑州正点物流公司、西安海纳物流公司、江苏白杨湾物流中心、河北惠龙物流公司等全国一千余家用户。     《飞扬第三方物流管理系统软件》紧紧跟随物流企业发展，从最初的仅仅提供简单的流程管理，只能满足快运公司和配货站使用的简单货运软件，发展到现在整合了第三方物流企业的从仓储、干线运输和配送、代理等完整的第三方物流业务，集成了从条码标签打印、条码扫描装车、条码扫描入库、无线射频卡应用、gps车辆跟踪、集成语音短信平台应用（发货到货语音文字短信自动通知、代收货款短信通知等功能）、物流一卡通应用及代收货款银行网银发放等新功能，给物流企业减少了人工成本提高了客户满意度。     通过我们的努力，《飞扬第三方物流管理系统软件》成为客户满意度最高的第三方物流管理软件。 我们的产品如何，请在咨询我们之后与我们的老客户进行沟通！我们的服务如何，我们的老客户的评价最值得信服！"
44,中级JAVA工程师,中国电信集团系统集成有限责任公司黑龙江分公司,哈尔滨-南岗区,4-8千/月,04-17,  3-4年经验  ,  大专  ,"职位信息


						1.   协助高级工程师进行系统详细设计工作；2.   根据《系统详细设计说明书》独立完成核心代码的实现；3.   指导初级软件工程师进行编码工作；4.   完成对初级研发工程师的培训和考核工作。任职要求：1.   计算机相关专业专科以上学历；2.   3年以上j2ee系统分析、设计和开发经验；3.   精通java；熟悉struts、spring、hibernate、mybatis等开源框架；4.   熟练掌握jdbc、javascript、ajax、xml、servlet；5.   了解应用服务器weblogic、jboss、tomcat；6.   熟练mysql的使用、熟悉db2、oracle数据库；掌握sql语句编写以熟练使用pl/sql。7.   熟练操作linux环境并熟悉常用命令；8.   熟悉web开发及前端技术（包括javascript，ajax，json，jquery, easyui等前端相关技术和框架）；9.   对新技术富有激情，热爱设计编写程序，逻辑思维清晰，具备独立解决问题的能力；10.有较强的沟通能力，学习能力和团队协作能力11.有云计算、大数据、互联网+、物联网相关项目实施经验的人员优先考虑12.哈尔滨本地人员优先考虑用工方式：（1）录用后同我公司委托的第三方劳务派遣公司签订劳动合同；（2）试用期三个月，有五险。						
												

职能类别：

										软件工程师									



微信分享







联系方式



上班地址：哈尔滨市南岗区林兴街1号							
地图





公司信息


						        中国电信集团系统集成有限责任公司黑龙江分公司是中国电信集团系统集成有限责任公司在黑龙江的分支机构，经营与通信、信息相关的系统集成及软件开发、技术转让、技术服务、技术支持、技术咨询、技术培训；计算机及外部设备、电讯器材的销售（国家有专项专营规定的除外）。中国电信集团系统集成有限责任公司黑龙江分公司依托中国电信黑龙江分公司丰富的网络资源，实行一体化的营销服务和运行维护，致力于为政府、金融、企业等提供网络基础设施建设、网络升级及改造、网络管理服务、网络及设备代维服务、设备租赁、应用软件集成及开发、it服务支撑等“一站式”服务。注：1.本次求职者签订劳动合同均为第三方。2.求职者签订正式合同后，为员工缴纳五险。"
45,Java开发工程师,哈尔滨祈福科技有限公司,哈尔滨,6-8千/月,04-17,  2年经验  ,  大专  ,"职位信息


※ 一旦录用，签订正式劳动合同。享受五险，周日休息，法定节假日带薪休息，公司另送年假7天；享受项目提成，年终奖；对于忠诚及有突出贡献的员工，公司将视为合作伙伴，分配股份，享受公司红利。


职能类别：

										软件工程师									

										高级软件工程师									


关键字：
带薪年假
五险一金
年终双薪
绩效奖金
股票期权
年终分红
专业培训
立即上岗
员工旅游
节日福利



微信分享







联系方式



上班地址：南岗区红旗大街242号							
地图





公司信息


						哈尔滨祈福科技有限公司位于哈尔滨南岗区经济开发区，为高新技术企业。前身为天悦网络科技，其旗下门户网站全球祭祀祈福网（http://www.qjqw.com）2007年上市之初，其新颖独到的表现方式便受到各大媒体的广泛关注，曾被包括亚洲英文电视台、中央电视台（cctv1、cctv10）在内的多家主流媒体综合报道。2014年受到风投支持，为满足业务扩展需要，共同注资1000万元组建新型高科技企业，面向手机、互联网产业纵深发展，五年内完成公司上市计划。现诚招天下英才，共享人生精彩！公司用人原则：人品第一，技术第二；诚实守信，坚韧专注。一旦录用，签订正式劳动合同。享受五险，双休 ，法定节假日带薪休息；享受项目提成，年终奖；对于忠诚及有突出贡献的员工，公司将视为合作伙伴，分配股份，享受公司红利。公司地址：红旗大街242号福斯特大厦，会展中心正对面，交通便利，生活方便，办公环境很好，欢迎投递简历或来电咨询。应聘简历请发至邮箱：hrbqifu@163.com，简历请附带照片。咨询电话：400-0240-535  0451-51023957"
46,Java开发工程师,哈尔滨鹏博普华科技发展有限责任公司,哈尔滨-南岗区,0.6-1万/月,04-16,  5-7年经验  ,  大专  ,"职位信息


岗位职责：1、根据业务需求进行系统的架构设计、功能设计、接口设计、数据结构设计等工作；2、完成本人负责部分的软件编码；3、带领初中级工程师完成项目，解决实际项目的问题。任职要求：1、精通java编程以及java主流的技术与框架的使用；2、精通多线程实现，缓存、异步、搜索引擎、消息队列等各种开源中间件的使用；3、熟悉设计模式等常用编程模式，了解系统建模，熟悉uml建模工具；4、精通spring、springboot、springcloud、dubbo、zookeeper、mysql等技术；5、有良好的沟通能力和职业素养，能够快速进入角色，融入团队及工作中；6、能承一定的工作压力，在紧凑的计划安排下按时完成任务。


职能类别：

										软件工程师									

										高级软件工程师									



微信分享







联系方式



上班地址：海河东路138号							
地图





公司信息


						哈尔滨鹏博普华科技发展有限责任公司成立于2013年，是一家集软件开发、信息技术应用、互联网产品运营、行业解决方案和渠道销售于一体的***高新技术企业。企业致力于“互联网+”新型电子商务模式及企业信息化应用建设，凭借专业的人才、雄厚的技术开发实力和互联网运营能力，可全方位满足各企事业单位、社会组织、政府行业信息化及互联网+建设需求。   鹏博科技采用先进的经营管理思想及科学化的现代企业管理模式，不断优化内部体系建设和管理运营。通过制定科学的项目管理、产品设计、产品研发、质量评估指标体系，实现全方位的产品研发及项目过程的管理与内控。现阶段公司团队共300余人，具有北上广同行业工作经验的员工占总人数的60%，核心人才团队由多家知名互联网公司联合创始人、著名商业管理咨询顾问、品牌管理专家、信息技术专家、4a营销顾问，以及来自哈佛大学、牛津大学、清华大学、哈尔滨工业大学、东北财经大学等多所国内外知名高校的博士团队组成。   公司成立以来坚持以人为本、积极创新的经营理念，不断强化企业人才的引进与培养。以市场为导向，鹏博科技强化产品、技术的创新与研发，组建产品研发部、产品规划设计部、产品运营部、以及业内行业专家团队，依托企业内外优势资源，聚焦国内外行业先进技术和创新理念，保持对市场卓越的前瞻性，培育和孵化新的产品、业务模式，先后荣获“高新技术企业”资质、is09001资质、“哈尔滨电子商务示范企业”资质、“aaa级信用企业”资质、“全网呼叫中心”资质、“信息系统集成及服务四级”资质，拥有多项软件著作权、十多项发明专利。鹏博科技关注客户利益、重视服务价值的有效传递与持续交付。多年大中型企业信息化建设与服务经验，让鹏博科技能够准确地理解客户需求，依托高效的服务能力，为客户打造售前咨询、项目实施与售后的一站式服务体验，协助客户提升企业管理、运营效益。全方位、高质量、专业化的服务品质，成就了鹏博科技专业服务品牌。    公司以技术为先导、以自营产品为核心，发挥人才优势，以“大客户项目定制开发”、“自有产品研发”“全方位产品运营”为主要业务方向。成功服务于黑龙江省公路勘察设计院、哈尔滨铁路资产经营管理有限公司、哈尔滨工业大学建筑设计院、哈工大机器人集团、等多家本地及外地大型企业。现因业务发展，诚邀您的加入。联系方式：15046068008"
47,Java开发实习生,哈尔滨军猎企业管理咨询有限公司,哈尔滨-香坊区,1.5-2千/月,04-16,  无工作经验  ,  招2人  ,"职位信息


岗位职责1、研发微信小程序，负责代码编写、单元测试、bug修改；2、协助测试人员完成集成和系统测试；3、完成项目组分配的其它工作。任职资格1、全日制本科及以上学历、计算机应用及软件相关专业应届毕业生；2、了解linux、unix、windows，能够基于各种操作系统进行一些基本操作；3、熟练掌握sql语句，有oracle数据库经验者更优；4、了解java编程语言，有过代码编写经验者优先；5、有独立分析问题、解决问题、良好的沟通协调能力和团队协作精神。


职能类别：

										软件工程师									

										网页设计/制作/美工									



微信分享







联系方式



上班地址：和兴路38号2号楼双创社区2516室							
地图





公司信息


						公司主要从事职业介绍、职业生涯规划、企业招聘外包、企业管理咨询、企业内训等业务，主要面向退役军人、大学毕业生等群体服务，重点解决退役军人找工作难、企业招工难的问题，为退役军人和优质企业搭建一条职业桥梁。公司管理人员均为退役军人，致力于提供军人特色的猎头服务，以诚信为本，以品质立身，坚持为企业和求职者提供有价值的服务，追求人职匹配，为助力龙江发展砥砺前行。"
